item_id,dataset,is_correct,total_tokens,total_episodes,prop_forward,prop_verification,prop_backtrack,prop_restart,prop_hesitation,prop_subgoal,prop_conclusion,backtrack_count,verification_count,restart_count,vf_ratio,bt_position_mean,first_conclusion_pos,v_clustering,max_forward_run,transition_entropy,cycle_count,wait_ratio,question_mark_count,negation_count,repetition_rate_4gram,semantic_recurrence_rate,max_semantic_cycle_span,progress_repetition,termination_recycle,revision_ineffectiveness,problem_conclusion_sim,problem_trace_max_sim,problem_drift,problem_keyword_coverage
math500_0000,math500,1,567.0,49.0,0.8775510204081632,0.0204081632653061,0.0612244897959183,0.0,0.0204081632653061,0.0,0.0204081632653061,3.0,1.0,0.0,0.0232558139534883,0.4722222222222221,1.0,0.0,14.0,0.18551243570543,10.0,0.0070546737213403,2.0,1.0,0.0319148936170212,0.0345744680851063,0.979591836734694,0.636038417307039,0.271426111459732,0.3635884175697962,0.6483157611141533,0.746334969997406,0.050478991810102736,0.6666666666666666
math500_0001,math500,1,879.0,63.0,0.7619047619047619,0.0476190476190476,0.0634920634920634,0.0,0.0793650793650793,0.0317460317460317,0.0158730158730158,4.0,3.0,0.0,0.0625,0.5846774193548387,1.0,0.3846153846153846,11.0,0.8709625336994662,21.0,0.0068259385665529,2.0,4.0,0.1073059360730593,0.0206240084611316,0.9047619047619048,0.6311164960986184,0.2307498008012771,0.1290926951915025,0.07771339771936994,0.8975620865821838,0.14101191970618165,0.625
math500_0002,math500,0,914.0,95.0,0.8736842105263158,0.031578947368421,0.0210526315789473,0.0,0.031578947368421,0.0210526315789473,0.0210526315789473,2.0,3.0,0.0,0.036144578313253,0.7234042553191489,0.7340425531914894,0.0,20.0,0.441952591304441,28.0,0.0054704595185995,2.0,2.0,0.0834248079034029,0.0626858842370167,0.9789473684210528,0.7267017189334047,0.3615060746669769,0.3615508005023002,0.5837836293165849,0.7857212424278259,0.04250074783776625,1.0
math500_0003,math500,1,811.0,67.0,0.7761194029850746,0.0597014925373134,0.0746268656716417,0.0149253731343283,0.0298507462686567,0.0149253731343283,0.0298507462686567,5.0,4.0,1.0,0.0769230769230769,0.5181818181818182,0.9848484848484848,0.7252251768198796,19.0,0.6746695330416209,12.0,0.0110974106041923,5.0,6.0,0.0457920792079208,0.0447552447552447,0.9850746268656716,0.7007956850257786,0.341993123292923,0.5546208110948404,0.7815629453183249,0.9444412589073181,0.019918075739425167,1.0
math500_0004,math500,1,1322.0,138.0,0.8840579710144928,0.0289855072463768,0.0217391304347826,0.0144927536231884,0.0434782608695652,0.0,0.0072463768115942,3.0,4.0,2.0,0.0327868852459016,0.8053527980535279,1.0,0.918458344260758,28.0,0.7450649031244108,53.0,0.0075642965204236,5.0,3.0,0.0356330553449583,0.0206097037355088,0.8985507246376812,0.7321783147589134,0.2891550362110138,0.2974581345915794,0.32451142298003444,0.7275298237800598,0.26698940807430444,0.7391304347826086
math500_0005,math500,1,432.0,25.0,0.84,0.04,0.0,0.04,0.04,0.0,0.04,0.0,1.0,1.0,0.0476190476190476,0.0,1.0,0.0,11.0,0.2708547330606928,10.0,0.0046296296296296,1.0,1.0,0.0722610722610722,0.1739130434782608,0.96,0.6980206232207518,0.4550082087516784,0.0967745035886764,0.7015429311801938,0.9509373903274536,0.029139043970343614,1.0
math500_0006,math500,1,791.0,60.0,0.8333333333333334,0.0333333333333333,0.0333333333333333,0.0,0.05,0.0333333333333333,0.0166666666666666,2.0,2.0,0.0,0.04,0.6101694915254237,1.0,0.0,21.0,0.7435704398856785,13.0,0.0063211125158027,1.0,7.0,0.0824873096446701,0.0374050263004091,0.95,0.6524179773365731,0.3432064056396484,0.3195287485917409,0.7357141506555719,0.8898038864135742,0.02952600396019822,1.0
math500_0007,math500,0,1497.0,129.0,0.7829457364341085,0.0387596899224806,0.0620155038759689,0.0465116279069767,0.0387596899224806,0.0232558139534883,0.0077519379844961,8.0,5.0,6.0,0.0495049504950495,0.46484375,1.0,0.4802924513662628,15.0,0.7252769308899037,51.0,0.0080160320641282,3.0,8.0,0.1164658634538152,0.029773622047244,0.9534883720930232,0.7129572259145789,0.2449576556682586,0.3831211976706982,0.4729698332131965,0.6389265656471252,0.14563042627877543,0.8888888888888888
math500_0008,math500,1,738.0,56.0,0.8035714285714286,0.0178571428571428,0.0535714285714285,0.0178571428571428,0.0714285714285714,0.0178571428571428,0.0178571428571428,3.0,1.0,1.0,0.0222222222222222,0.5575757575757575,1.0,0.0,12.0,0.1907641269577229,13.0,0.008130081300813,1.0,2.0,0.0340136054421769,0.0208754208754208,0.9642857142857144,0.6206004730679773,0.3059842884540558,0.3983233720064163,0.7589126777436939,0.8535890579223633,-0.09175399192983114,0.6666666666666666
math500_0009,math500,0,11803.0,932.0,0.7317596566523605,0.009656652360515,0.1738197424892703,0.0675965665236051,0.0085836909871244,0.0032188841201716,0.0053648068669527,162.0,9.0,63.0,0.0131964809384164,0.5431369428863163,0.8947368421052632,0.9164958373541038,31.0,0.8655519783136375,791.0,0.015165635855291,40.0,56.0,0.4873728813559321,0.0808588291004007,0.9742489270386266,0.8770610670590119,0.3444315493106842,0.4213412773665151,0.5313745434643464,0.7830657958984375,0.1639851134442939,0.76
