item_id,dataset,is_correct,total_tokens,total_episodes,prop_forward,prop_verification,prop_backtrack,prop_restart,prop_hesitation,prop_subgoal,prop_conclusion,backtrack_count,verification_count,restart_count,vf_ratio,bt_position_mean,first_conclusion_pos,v_clustering,max_forward_run,transition_entropy,cycle_count,wait_ratio,question_mark_count,negation_count,repetition_rate_4gram,semantic_recurrence_rate,max_semantic_cycle_span,progress_repetition,termination_recycle,revision_ineffectiveness
arc_0000,arc_challenge,1,683.0,52.0,0.903846153846154,0.0192307692307692,0.0384615384615384,0.0,0.0192307692307692,0.0,0.0192307692307692,2.0,1.0,0.0,0.0212765957446808,0.3627450980392157,1.0,0.0,22.0,0.1733422567667076,4.0,0.007320644216691,7.0,16.0,0.0102941176470587,0.04470588235294118,0.9038461538461539,0.6290585767368184,0.2878414988517761,0.4504678472876549
arc_0001,arc_challenge,1,342.0,26.0,0.8461538461538461,0.0,0.0,0.0,0.0769230769230769,0.0,0.0769230769230769,0.0,0.0,0.0,0.0,0.0,0.96,0.0,12.0,0.2332859523423093,0.0,0.0029239766081871,1.0,7.0,0.0147492625368731,0.06333333333333334,0.5,0.6212485128641129,0.33899423480033875,0.0
arc_0002,arc_challenge,0,405.0,29.0,0.9310344827586208,0.0,0.0344827586206896,0.0,0.0344827586206896,0.0,0.0,1.0,0.0,0.0,0.0,0.6071428571428571,1.0,0.0,11.0,0.1560555468507775,0.0,0.0074074074074074,5.0,8.0,0.0099502487562188,0.037037037037037035,0.7586206896551724,0.5686343482562474,0.38364577293395996,0.5332762598991394
arc_0003,arc_challenge,1,414.0,34.0,0.8823529411764706,0.0,0.0294117647058823,0.0,0.0294117647058823,0.0294117647058823,0.0294117647058823,1.0,0.0,0.0,0.0,0.7878787878787878,0.7575757575757576,0.0,12.0,0.128758732324353,7.0,0.0048309178743961,2.0,2.0,0.145985401459854,0.0625,0.7058823529411765,0.6593920079370339,0.3767596185207367,0.11072668433189392
arc_0004,arc_challenge,1,960.0,88.0,0.9090909090909092,0.0,0.034090909090909,0.0,0.034090909090909,0.0113636363636363,0.0113636363636363,3.0,0.0,0.0,0.0,0.7854406130268199,1.0,0.0,20.0,0.1625308515087986,13.0,0.0052083333333333,0.0,6.0,0.0679205851619644,0.01710772520716386,0.6818181818181818,0.6630230443230991,0.2956961393356323,0.47793859541416167
arc_0005,arc_challenge,1,327.0,27.0,0.9629629629629628,0.0,0.0,0.0,0.0,0.0,0.037037037037037,0.0,0.0,0.0,0.0,0.0,1.0,0.0,26.0,0.2351933818192414,0.0,0.0,0.0,3.0,0.0246913580246913,0.07076923076923076,0.6666666666666666,0.6243494213200532,0.3582375943660736,0.0
arc_0006,arc_challenge,1,698.0,53.0,0.8113207547169812,0.0,0.0377358490566037,0.0566037735849056,0.0754716981132075,0.0188679245283018,0.0,2.0,0.0,3.0,0.0,0.6730769230769231,1.0,0.0,23.0,0.4071599769247447,13.0,0.0042979942693409,2.0,5.0,0.0647482014388489,0.02865761689291101,0.7924528301886793,0.6437908044944589,0.26811638474464417,0.16300611197948456
arc_0007,arc_challenge,1,338.0,20.0,0.95,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0,0.1547717145751626,0.0,0.0029585798816568,0.0,5.0,0.0119402985074626,0.011695906432748537,0.4,0.5394637423910593,0.242942214012146,0.0
arc_0008,arc_challenge,0,710.0,58.0,0.7931034482758621,0.0,0.1034482758620689,0.0344827586206896,0.0517241379310344,0.0172413793103448,0.0,6.0,0.0,2.0,0.0,0.652046783625731,1.0,0.0,10.0,0.4428883454577639,22.0,0.0084507042253521,3.0,17.0,0.1159830268741159,0.05701754385964912,0.8448275862068966,0.6745265245176197,0.28757035732269287,0.3243035823106766
arc_0009,arc_challenge,1,402.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,27.0,0.0,0.0,0.0,0.0,3.0,0.050125313283208,0.06153846153846154,0.9259259259259259,0.6555787359292691,0.4724092185497284,0.0
